M_selected_features,cv_type,validation_sample_size,n_train,validation_mse,generalization_mse,null_validation_mse,null_generalization_mse
10,K2,m=n,20,2287.6071645941493,2427.334226039593,1256.4910733118688,1251.1989861437555
10,K2,m=n,25,1611.936627526464,1372.154661240107,1259.7857869023585,1244.2823191006692
10,K2,m=n,30,1132.105122881237,1047.3249673394475,1223.482364973906,1232.3699399935954
10,K2,m=n,35,1006.0216912152574,1015.6051408407523,1193.3915587471101,1160.2373529821318
10,K2,m=n,40,881.3619216672737,882.1196697129827,1201.4637901713638,1169.2919132090167
10,K2,m=n,45,874.319313348338,896.2561296712342,1207.29556177756,1201.282503214938
10,K2,m=n,50,807.3451366700714,800.4868056955686,1198.8955862264986,1200.6768588215864
10,K2,m=n,55,771.4879491703291,770.7979549245412,1183.6228511647744,1185.7850535523885
10,K2,m=n,60,775.3164577483283,770.0975157073682,1197.6467588003675,1211.0284490088432
10,LOO,m=1,20,2795.805839818255,2760.1392706955517,1230.3017738334229,1241.7138343109643
10,LOO,m=1,25,1530.4437621580532,1537.2971511660073,1263.1632073340118,1219.8523530203324
10,LOO,m=1,30,1254.2400926643304,1137.702967609315,1208.0205737605368,1199.3598306179003
10,LOO,m=1,35,999.7712294875859,1017.9503579159212,1226.7258361499944,1201.7685616073388
10,LOO,m=1,40,931.6102405905061,978.6717036115704,1209.8691363228795,1224.806230572811
10,LOO,m=1,45,864.4972143202322,828.8621148324597,1198.7350025414241,1184.7172136144977
10,LOO,m=1,50,809.2858576618377,841.2257557467756,1198.9511308236674,1187.0557003691194
10,LOO,m=1,55,812.2375794376036,768.1578528576298,1206.4425068947419,1213.020989690158
10,LOO,m=1,60,774.063956020177,758.7138735615013,1183.929182818163,1207.9000744657278
30,K2,m=n,60,1286.2025964633094,1220.5286485906906,1187.3456979032055,1186.7213327485913
30,K2,m=n,70,934.2752881592329,930.5529049281575,1191.9212232715238,1201.867429713834
30,K2,m=n,80,824.236482771718,806.2730618877063,1189.4719460907022,1185.8432511643027
30,K2,m=n,90,703.942009296593,716.7982405115248,1184.5364950155779,1153.556100601583
30,K2,m=n,100,650.9501305492583,656.1943251996164,1180.627283574891,1177.6967445123162
30,K2,m=n,110,613.9517103616931,600.4048340624342,1171.7557340225826,1174.2511684888275
30,K2,m=n,120,582.0912703235931,576.0333546144564,1190.3843555334847,1189.714831147141
30,LOO,m=1,60,1319.2591651059413,1194.5798411664273,1164.1681429282337,1216.1997888654005
30,LOO,m=1,70,998.2754503297398,905.062996025928,1202.2282930140518,1219.21369766664
30,LOO,m=1,80,796.4381942795685,819.369582684325,1199.4163544330233,1204.6880890066143
30,LOO,m=1,90,721.5895895016592,718.5047839395856,1184.4219929331264,1190.6855966654152
30,LOO,m=1,100,637.587097010002,657.0259616017944,1177.4873451800072,1186.6499543178368
30,LOO,m=1,110,626.8539220303322,617.5296355063058,1194.6118363204453,1184.0837115210372
30,LOO,m=1,120,590.1645529461371,587.2192863585586,1209.348706164444,1188.5728219371172
