M,cv_type,n_validation_label,n_train,n_validation,n_holdout,reps,mean_validation_mse,mean_holdout_mse,std_validation_mse,std_holdout_mse
10,K2,m=n,20,20,20,200,4167.91699169506,2914.1164671395277,4523.132786311334,6664.038585815042
10,K2,m=n,25,25,25,200,2116.9399823567505,1889.35891602556,1636.9823140840545,2227.236223121164
10,K2,m=n,30,30,30,200,1732.3393862792364,1390.506475718885,1761.3141742969985,1185.5566820462006
10,K2,m=n,35,35,35,200,1317.9506864191508,1090.534633240227,906.3367826378419,746.6862858131452
10,K2,m=n,40,40,40,200,1017.8457355071143,921.5004922711665,463.8554363244854,376.42474175001166
10,K2,m=n,45,45,45,200,984.8713656739301,833.5970872403684,567.6158188383611,330.50265761247505
10,K2,m=n,50,50,50,200,924.4907685599728,826.9563052776809,358.1558440487718,305.6804964045436
10,K2,m=n,55,55,55,200,847.7547387383144,785.248920512136,269.72890360815387,330.05384571631936
10,K2,m=n,60,60,60,200,851.9073963619397,792.9432026954292,332.48002880491345,312.86399787761724
10,LOO,m=1,20,1,20,200,7351.030914673744,2583.2283989192583,18243.963154157744,3719.4487225676976
10,LOO,m=1,25,1,25,200,2174.892371205464,1429.3450102924062,2464.430222397844,1123.319464669099
10,LOO,m=1,30,1,30,200,1665.454474549708,1166.973256019384,1579.2407605868327,793.3218953724132
10,LOO,m=1,35,1,35,200,1351.3266060466394,1010.6276790288343,960.8796636624054,556.0568271383258
10,LOO,m=1,40,1,40,200,1146.9196454272771,895.6179019747866,908.8221087000658,400.5881378224636
10,LOO,m=1,45,1,45,200,959.3810509403187,856.7642480994316,448.98166524911363,351.61101800341225
10,LOO,m=1,50,1,50,200,898.6158671090362,863.3984291876192,390.34820573274106,511.7299124264253
10,LOO,m=1,55,1,55,200,836.6533033465329,786.2417699520555,274.9015308285659,311.24994953028875
10,LOO,m=1,60,1,60,200,898.0505442563841,775.7320984571186,496.31906878765625,238.5897989558675
30,K2,m=n,60,60,60,200,1471.9498881181128,1378.2603020000956,807.6722040524481,1088.210641488739
30,K2,m=n,70,70,70,200,1018.0195454664345,1022.7221401909712,359.2948031179912,517.2984849406871
30,K2,m=n,80,80,80,200,871.0236908788439,795.5060229079223,291.3061852942078,274.992996190823
30,K2,m=n,90,90,90,200,731.70545965281,735.9755609374482,200.4482102083923,248.0269409981277
30,K2,m=n,100,100,100,200,683.8656606575871,665.0288380565821,184.51647442305838,182.94696167283425
30,K2,m=n,110,110,110,200,636.479772769333,640.5490865087056,165.9873667779133,282.2245830528045
30,K2,m=n,120,120,120,200,594.1857299342244,577.9533572286217,112.20388996639859,125.97730058961548
30,LOO,m=1,60,1,60,200,1573.328850253615,1360.0364992400764,1017.9716255018224,885.983259882375
30,LOO,m=1,70,1,70,200,1110.6948620261114,977.2720193668563,727.7361706683062,388.8357925087623
30,LOO,m=1,80,1,80,200,887.0566581754695,798.1430889862348,386.6115122400436,263.1889309118224
30,LOO,m=1,90,1,90,200,757.7481057650133,715.6431243873985,265.7947516322548,241.13597346984457
30,LOO,m=1,100,1,100,200,721.6491260000539,641.116697763568,238.75633965233473,155.44386972503247
30,LOO,m=1,110,1,110,200,641.3943294697875,618.1439965596649,162.67288952255566,145.68502966027853
30,LOO,m=1,120,1,120,200,625.299088996387,574.6915353917332,182.75930089952178,117.36189146581854
